month,channel,week,timeofday,videos
201904,CH9,1,morning,have
201904,CH9,2,afternoon,have
201904,CH9,2,evening,have
201904,CH9,2,morning,have
201904,CH9,3,afternoon,have
201904,CH9,3,evening,have
201904,CH9,3,morning,have
201904,CH9,4,afternoon,have
201904,CH9,4,evening,have
201904,CH9,4,morning,have
201905,CH1,1,afternoon,have
201905,CH1,1,evening,have
201905,CH1,1,morning,have
201905,CH1,2,afternoon,have
201905,CH1,2,evening,have
201905,CH1,2,morning,have
201905,CH1,3,afternoon,have
201905,CH1,3,evening,have
201905,CH1,3,morning,have
201905,CH1,4,afternoon,have
201905,CH1,4,evening,have
201905,CH1,4,morning,have
201905,CH2,1,afternoon,have
201905,CH2,1,evening,have
201905,CH2,1,morning,have
201905,CH2,2,afternoon,have
201905,CH2,2,evening,have
201905,CH2,2,morning,have
201905,CH2,3,afternoon,have
201905,CH2,3,evening,have
201905,CH2,3,morning,have
201905,CH2,4,afternoon,have
201905,CH2,4,evening,have
201905,CH2,4,morning,have
201905,CH9,1,afternoon,have
201905,CH9,1,evening,have
201905,CH9,1,morning,have
201905,CH9,2,afternoon,have
201905,CH9,2,evening,have
201905,CH9,2,morning,have
201905,CH9,3,afternoon,have
201905,CH9,3,evening,have
201905,CH9,3,morning,have
201905,CH9,4,afternoon,have
201905,CH9,4,evening,have
201905,CH9,4,morning,have
201906,CH1,1,afternoon,have
201906,CH1,1,evening,have
201906,CH1,1,morning,have
201906,CH1,2,afternoon,have
201906,CH1,2,evening,have
201906,CH1,2,morning,have
201906,CH1,3,afternoon,have
201906,CH1,3,evening,have
201906,CH1,3,morning,have
201906,CH1,4,afternoon,have
201906,CH1,4,evening,have
201906,CH1,4,morning,have
201906,CH2,1,afternoon,have
201906,CH2,1,evening,have
201906,CH2,1,morning,have
201906,CH2,2,afternoon,have
201906,CH2,2,evening,have
201906,CH2,2,morning,have
201906,CH2,3,afternoon,have
201906,CH2,3,evening,have
201906,CH2,3,morning,have
201906,CH2,4,afternoon,have
201906,CH2,4,evening,have
201906,CH2,4,morning,have
201906,CH9,1,afternoon,have
201906,CH9,1,evening,have
201906,CH9,1,morning,have
201906,CH9,2,afternoon,have
201906,CH9,2,evening,have
201906,CH9,2,morning,have
201906,CH9,3,afternoon,have
201906,CH9,3,evening,have
201906,CH9,3,morning,have
201906,CH9,4,afternoon,have
201906,CH9,4,evening,have
201906,CH9,4,morning,have
201907,CH1,1,afternoon,have
201907,CH1,1,evening,have
201907,CH1,1,morning,have
201907,CH1,2,afternoon,have
201907,CH1,2,evening,have
201907,CH1,2,morning,have
201907,CH1,3,afternoon,have
201907,CH1,3,evening,have
201907,CH1,3,morning,have
201907,CH1,4,afternoon,have
201907,CH1,4,evening,have
201907,CH1,4,morning,have
201907,CH2,1,afternoon,have
201907,CH2,1,evening,have
201907,CH2,1,morning,have
201907,CH2,2,afternoon,have
201907,CH2,2,evening,have
201907,CH2,2,morning,have
201907,CH2,3,afternoon,have
201907,CH2,3,evening,have
201907,CH2,3,morning,have
201907,CH2,4,afternoon,have
201907,CH2,4,evening,have
201907,CH2,4,morning,have
201907,CH9,1,afternoon,have
201907,CH9,1,evening,have
201907,CH9,1,morning,have
201907,CH9,2,afternoon,have
201907,CH9,2,evening,have
201907,CH9,2,morning,have
201907,CH9,3,afternoon,have
201907,CH9,3,evening,have
201907,CH9,3,morning,have
201907,CH9,4,afternoon,have
201907,CH9,4,evening,have
201907,CH9,4,morning,have
201909,CH9,1,afternoon,have
201909,CH9,1,evening,have
201909,CH9,1,morning,have
201909,CH9,2,afternoon,have
201909,CH9,2,evening,have
201909,CH9,2,morning,have
201909,CH9,3,afternoon,have
201909,CH9,3,evening,have
201909,CH9,3,morning,have
201909,CH9,4,afternoon,have
201909,CH9,4,evening,have
201909,CH9,4,morning,have
