month,channel,week,timeofday,videos,filename,numofworkers
201902,CH1,4,afternoon,1,12,22
201902,CH1,4,evening,1,12,9
201902,CH1,4,morning,1,12,50
201902,CH2,1,afternoon,1,12,55
201902,CH2,1,evening,1,12,48
201902,CH2,1,morning,1,12,17
201902,CH2,2,afternoon,1,12,11
201902,CH2,2,evening,1,12,123
201902,CH2,2,morning,1,12,39
201902,CH2,3,afternoon,1,12,14
201902,CH2,3,evening,1,12,23
201902,CH2,3,morning,1,12,24
201902,CH2,4,afternoon,1,12,16
201902,CH2,4,evening,1,12,17
201902,CH2,4,morning,1,12,22
201902,CH9,1,afternoon,1,,
201902,CH9,1,evening,1,12,17
201902,CH9,1,morning,1,12,6
201902,CH9,2,afternoon,1,12,21
201902,CH9,2,evening,1,12,32
201902,CH9,2,morning,1,12,27
201902,CH9,3,afternoon,1,12,31
201902,CH9,3,evening,1,12,25
201902,CH9,3,morning,1,12,63
201902,CH9,4,afternoon,1,12,8
201902,CH9,4,evening,1,12,11
201902,CH9,4,morning,1,12,17
201903,CH2,1,afternoon,1,,
201903,CH2,1,evening,1,,
201903,CH2,1,morning,1,,
201903,CH2,2,afternoon,1,12,6
201903,CH2,2,evening,1,12,41
201903,CH2,2,morning,1,12,10
201903,CH2,3,afternoon,1,12,5
201903,CH2,3,evening,1,12,10
201903,CH2,3,morning,1,12,5
201903,CH2,4,afternoon,1,,
201903,CH2,4,evening,1,,
201903,CH2,4,morning,1,,
201903,CH9,1,afternoon,1,12,16
201903,CH9,1,evening,1,12,3
201903,CH9,1,morning,1,12,69
201903,CH9,2,afternoon,1,12,11
201903,CH9,2,evening,1,12,52
201903,CH9,2,morning,1,12,59
201903,CH9,3,afternoon,1,12,40
201903,CH9,3,evening,1,12,10
201903,CH9,3,morning,1,12,19
201903,CH9,4,afternoon,1,12,60
201903,CH9,4,evening,1,12,28
201903,CH9,4,morning,1,12,24
201904,CH1,1,afternoon,1,12,47
201904,CH1,1,evening,1,12,87
201904,CH1,1,morning,1,12,14
201904,CH1,2,afternoon,1,12,19
201904,CH1,2,evening,1,12,13
201904,CH1,2,morning,1,12,41
201904,CH1,3,afternoon,1,12,15
201904,CH1,3,evening,1,12,13
201904,CH1,3,morning,1,12,15
201904,CH1,4,afternoon,1,12,10
201904,CH1,4,evening,1,12,16
201904,CH1,4,morning,1,,
201904,CH2,1,afternoon,1,12,25
201904,CH2,1,evening,1,12,113
201904,CH2,1,morning,1,12,42
201904,CH2,2,afternoon,1,12,29
201904,CH2,2,evening,1,12,28
201904,CH2,2,morning,1,12,32
201904,CH2,3,afternoon,1,12,3
201904,CH2,3,evening,1,12,26
201904,CH2,3,morning,1,12,17
201904,CH2,4,afternoon,1,,
201904,CH2,4,evening,1,,
201904,CH2,4,morning,1,,
201904,CH9,1,afternoon,1,12,14
201904,CH9,1,evening,1,12,51
201904,CH9,1,morning,1,12,33
201904,CH9,2,afternoon,1,12,39
201904,CH9,2,evening,1,12,69
201904,CH9,2,morning,1,12,65
201904,CH9,3,afternoon,1,12,41
201904,CH9,3,evening,1,12,38
201904,CH9,3,morning,1,12,17
201904,CH9,4,afternoon,1,12,51
201904,CH9,4,evening,1,12,37
201904,CH9,4,morning,1,12,72
201905,CH1,1,afternoon,1,12,63
201905,CH1,1,evening,1,12,11
201905,CH1,1,morning,1,12,49
201905,CH1,2,afternoon,1,12,33
201905,CH1,2,evening,1,12,56
201905,CH1,2,morning,1,12,6
201905,CH1,3,afternoon,1,12,58
201905,CH1,3,evening,1,12,74
201905,CH1,3,morning,1,12,95
201905,CH1,4,afternoon,1,12,15
201905,CH1,4,evening,1,12,13
201905,CH1,4,morning,1,12,19
201905,CH2,1,afternoon,1,12,3
201905,CH2,1,evening,1,12,13
201905,CH2,1,morning,1,12,32
201905,CH2,2,afternoon,1,12,8
201905,CH2,2,evening,1,12,16
201905,CH2,2,morning,1,12,22
201905,CH2,3,afternoon,1,12,27
201905,CH2,3,evening,1,12,33
201905,CH2,3,morning,1,12,32
201905,CH2,4,afternoon,1,12,76
201905,CH2,4,evening,1,12,15
201905,CH2,4,morning,1,12,37
201905,CH9,1,afternoon,1,12,35
201905,CH9,1,evening,1,12,45
201905,CH9,1,morning,1,12,6
201905,CH9,2,afternoon,1,12,38
201905,CH9,2,evening,1,12,5
201905,CH9,2,morning,1,12,22
201905,CH9,3,afternoon,1,12,63
201905,CH9,3,evening,1,12,24
201905,CH9,3,morning,1,12,10
201905,CH9,4,afternoon,1,12,38
201905,CH9,4,evening,1,12,63
201905,CH9,4,morning,1,12,7
201906,CH1,1,afternoon,1,12,56
201906,CH1,1,evening,1,12,45
201906,CH1,1,morning,1,12,35
201906,CH1,2,afternoon,1,,
201906,CH1,2,evening,1,,
201906,CH1,2,morning,1,,
201906,CH1,3,afternoon,1,,
201906,CH1,3,evening,1,,
201906,CH1,3,morning,1,,
